,Rank, ,Code,Company,Price,Change,% Chg,Mkt Cap,1 Year
0,1,up,CBA,Commonwealth Bank,$75.40,+0.23,+0.31%,$133.48 B,+6.23%
1,2,down,BHP,BHP Group Limited,$36.80,-0.18,-0.49%,$108.41 B,+12.37%
2,3,up,WBC,Westpac Banking Corp,$27.22,+0.16,+0.59%,$93.84 B,-8.81%
3,4,up,CSL,CSL Limited,$197.25,+0.09,+0.05%,$89.37 B,+12.02%
4,5,down,ANZ,ANZ Banking Group Limited,$27.50,-0.15,-0.54%,$77.91 B,-2.07%
5,6,up,NAB,National Aust. Bank,$25.94,+0.03,+0.12%,$72.93 B,-9.24%
6,7,up,WOW,Woolworths Group Limited,$32.99,+0.15,+0.46%,$43.46 B,+15.07%
7,8,up,MQG,Macquarie Group Limited,$124.63,+0.26,+0.21%,$42.42 B,+9.33%
8,9,up,WES,Wesfarmers Limited,$36.59,+0.34,+0.94%,$41.49 B,+16.90%
9,10,up,TLS,Telstra Corporation,$3.41,+0.03,+0.89%,$40.56 B,+7.57%
10,11,up,TCL,Transurban Group FP Ordinary/Units Stapled Securities,$13.58,+0.14,+1.04%,$36.33 B,+15.44%
11,12,down,RIO,RIO Tinto Limited,$95.27,-0.08,-0.08%,$35.37 B,+14.85%
12,13,up,WPL,Woodside Petroleum,$35.73,+0.3,+0.85%,$33.45 B,+5.09%
13,14,up,GMG,Goodman Group FP Ordinary/Units Stapled Securities,$13.17,+0.06,+0.46%,$23.89 B,+44.41%
14,15,up,FMG,Fortescue Metals Group,$7.54,+0.08,+1.07%,$23.22 B,+55.79%
15,16,up,SCG,Scentre Group FP Ordinary/Units Stapled Securities,$3.72,+0.03,+0.81%,$19.78 B,-9.93%
16,17,up,NCM,Newcrest Mining,$25.47,+0.34, +1.35%,$19.57 B,+15.09%
17,18,up,BXB,Brambles Limited,$12.27,+0.08,+0.66%,$19.57 B,+23.69%
18,19,up,AMC,Amcor Limited,$16.06,+0.03,+0.19%,$18.60 B,+16.72%
19,20,down,IAG,Insurance Australia,$7.92,-0.04,-0.50%,$18.30 B,-2.68%
20,21,up,SUN,Suncorp Group Limited,$13.67,+0.09,+0.66%,$17.75 B,-2.15%
21,22,up,SYD,SYD Airport FP Ordinary/Units Stapled Securities,$7.71,+0.07,+0.92%,$17.40 B,+7.83%
22,23,down,COL,Coles Group,$12.70,-0.01,-0.08%,$16.94 B,-0.39%
23,24,down,QBE,QBE Insurance Group,$12.65,-0.19,-1.48%,$16.76 B,+24.75%
24,25,up,ALL,Aristocrat Leisure,$26.03,+0.29,+1.13%,$16.62 B,-7.23%
25,26,up,S32,SOUTH32 Limited,$3.29,+0.01,+0.31%,$16.55 B,-15.64%
26,27,up,AGL,AGL Energy Limited,$22.96,+0.48,+2.14%,$15.06 B,+3.75%
27,28,down,CIM,Cimic Group Limited,$45.27,-0.08,-0.18%,$14.68 B,+2.17%
28,29,up,ASX,ASX Limited,$75.35,+0.09,+0.12%,$14.59 B,+21.61%
29,30,up,STO,Santos Limited,$6.99,+0.03,+0.43%,$14.56 B,+11.66%
30,31,up,DXS,Dexus FP Units Stapled Securities,$12.60,+0.02,+0.16%,$13.75 B,+29.90%
31,32,up,ORG,Origin Energy,$7.51,+0.07,+0.94%,$13.23 B,-24.52%
32,33,up,RHC,Ramsay Health Care,$63.41,+0.24,+0.38%,$12.81 B,-1.77%
33,34,up,SHL,Sonic Healthcare,$26.31,+0.08,+0.31%,$12.47 B,+11.15%
34,35,up,APA,APA Group FP Units Stapled Securities,$10.21,+0.17,+1.69%,$12.05 B,+21.69%
35,36,up,OSH,Oil Search Limited 10 Toea,$7.58,+0.01,+0.13%,$11.55 B,-10.61%
36,37,up,COH,Cochlear Limited,$196.02,+2.3,+1.19%,$11.31 B,+1.04%
37,38,down,A2M,The a2 Milk Company,$14.99,-0.12,-0.79%,$11.02 B,+25.13%
38,39,up,TWE,Treasury Wine Estate,$15.09,+0.02,+0.13%,$10.85 B,-21.24%
39,40,up,REA,REA Group,$81.88,+0.74,+0.91%,$10.78 B,-2.87%
40,41,up,MGR,Mirvac Group FP Ordinary/Units Stapled Securities,$2.87,+0.02,+0.70%,$10.50 B,+25.33%
41,42,up,GPT,GPT Group FP Ordinary/Units Stapled Securities,$5.74,+0.04,+0.70%,$10.36 B,+18.35%
42,43,up,AZJ,Aurizon Holdings Limited,$4.97,+0.08,+1.64%,$9.89 B,+12.19%
43,44,up,CPU,Computershare Limited,$17.93,+0.08,+0.45%,$9.74 B,+1.76%
44,45,up,AIA,Auckland Internation Foreign Exempt NZX,$7.88,+0.15,+1.94%,$9.55 B,+28.97%
45,46,up,VCX,Vicinity Centres FP Ordinary/Units Stapled Securities,$2.52,+0.02,+0.80%,$9.52 B,-1.56%
46,47,down,TAH,Tabcorp Holdings Limited,$4.61,-0.02,-0.43%,$9.31 B,+4.77%
47,48,up,SGP,Stockland FP Ordinary/Units Stapled Securities,$3.83,+0.03,+0.79%,$9.14 B,-9.67%
48,49,down,CWN,Crown Resorts Limited,$13.22,-0.19,-1.42%,$8.95 B,-0.75%
49,50,down,QAN,Qantas Airways,$5.41,-0.15,-2.70%,$8.64 B,-12.32%
50,51,up,FPH,Fisher & Paykel H Foreign Exempt NZX,$15.04,+0.14,+0.94%,$8.63 B,+26.92%
51,52,down,JHX,James Hardie Indust Chess Depositary Interests 1:1,$18.41,-0.12,-0.65%,$8.14 B,-22.45%
52,53,down,MPL,Medibank Private Limited,$2.88,-0.05,-1.71%,$7.93 B,-4.00%
53,54,down,MFG,Magellan Fin Group Limited,$43.89,-0.24,-0.54% ,$7.77 B,+77.98%
54,55,up,XRO,Xero Limited,$55.14,+1.37,+2.55%,$7.77 B,+38.23%
55,56,down,ORI,Orica Limited,$19.46,-0.24,-1.22%,$7.39 B,+5.08%
56,57,down,LLC,Lendlease Group FP Ordinary/Units Stapled Securities,$12.74,-0.04,-0.31%,$7.19 B,-29.69%
57,58,up,WOR,Worleyparsons Limited,$13.78,+0.05,+0.36%,$7.15 B,-15.02%
58,59,no change,AFI,Australian Foundat,$5.92,0.00,0.00%,$7.10 B,-2.15%
59,60,up,SEK,Seek Limited,$20.08,+0.16,+0.80%,$7.05 B,-2.71%
60,61,up,WTC,Wisetech Global Limited,$22.09,+0.17,+0.78%,$7.01 B,+66.97%
61,62,up,BSL,Bluescope Steel Limited,$13.29,+0.06,+0.45%,$6.99 B,-23.93%
62,63,up,AST,Ausnet Services Limited,$1.855,+0.035,+1.92%,$6.78 B,+6.92%
63,64,up,AMP,AMP Limited,$2.22,+0.01,+0.45%,$6.54 B,-43.94%
64,65,up,CTX,Caltex Australia,$26.07,+0.34,+1.32%,$6.51 B,-12.75%
65,66,up,AWC,Alumina Limited,$2.25,+0.05,+2.27%,$6.48 B,-19.36%
66,67,up,CCL,Coca-Cola Amatil,$8.84,+0.02,+0.23%,$6.40 B,-2.64%
67,68,up,SPK,Spark New Zealand Foreign Exempt NZX,$3.44,+0.01,+0.29%,$6.32 B,+4.56%
68,69,up,RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,$15.97,+0.07,+0.44% ,$6.30 B,+19.99%
69,70,down,APT,Afterpay Touch,$26.21,-0.22,-0.83%,$6.26 B,+274.43%
70,71,down,SVW,Seven Group Holdings,$18.38,-0.59,-3.11%,$6.24 B,-5.26%
71,72,up,PMGOLD,Gold Corp 0.00 ZAU Call STR.Prod,$18.37,+0.02,+0.11%,$5.91 B,+4.20%
72,73,up,TPM,TPG Telecom Limited,$6.35,+0.3,+4.96%,$5.89 B,+9.67%
73,74,no change,REH,Reece Limited,$10.37,0.00,0.00%,$5.82 B,-13.58%
74,75,up,NST,Northern Star,$8.95,+0.12,+1.36%,$5.72 B,+33.19%
75,76,up,EVN,Evolution Mining Limited,$3.33,+0.05,+1.52%,$5.65 B,-0.89%
76,77,down,BLD,Boral Limited,$4.79,-0.02,-0.42%,$5.62 B,-27.97%
77,78,no change,ARG,Argo Investments,$7.75,0.00,0.00%,$5.54 B,-1.90%
78,79,up,SOL,Soul Pattinson (W.H),$23.06,+0.38,+1.68%,$5.52 B,+17.95%
79,80,no change,IPL,Incitec Pivot,$3.27,0.00,0.00%,$5.25 B,-8.40%
80,81,up,BEN,Bendigo and Adelaide,$10.57,+0.05,+0.48%,$5.18 B,-1.86%
81,82,no change,MCY,Mercury NZ Limited Foreign Exempt NZX,$3.72,0.00,0.00%,$5.07 B,+23.59%
82,83,down,MEZ,Meridian Energy Foreign Exempt NZX,$3.96,-0.08,-1.98%,$4.97 B,+44.00%
83,84,down,CGF,Challenger Limited,$8.03,-0.09,-1.11%,$4.91 B,-36.82%
84,85,up,ALX,Atlas Arteria FP Ordinary Stapled Securities,$7.16,+0.09,+1.27%,$4.89 B,+14.56%
85,86,up,CHC,Charter Hall Group Stapled Securities US Prohibited,$10.16,+0.08,+0.79%,$4.73 B,+63.34%
86,87,no change,HVN,Harvey Norman,$3.98,0.00,0.00%,$4.70 B,+15.55%
87,88,down,DOW,Downer Edi Limited,$7.81,-0.01,-0.13%,$4.64 B,+11.10%
88,89,up,QUB,QUBE Holdings Limited,$2.88,+0.05,+1.77%,$4.63 B,+19.01%
89,90,down,CWY,Cleanaway Waste Limited,$2.25,-0.02,-0.88%,$4.60 B,+31.97%
90,91,no change,BPT,Beach Energy Limited,$1.975,0.00,0.00%,$4.50 B,+16.86%
91,92,down,YAL,Yancoal Aust Limited,$3.40,-0.03,-0.88%,$4.49 B,-25.28%
92,93,no change,WHC,Whitehaven Coal,$4.20,0.00,0.00%,$4.31 B,-11.21%
93,94,no change,HSO,Healthscope Limited,$2.45,0.00,0.00%,$4.27 B,-1.61%
94,95,down,ALU,Altium Limited,$31.93,-0.01,-0.03%,$4.17 B,+44.74%
95,96,down,VEA,Viva Energy Group,$2.14,-0.01,-0.47%,$4.16 B,-10.83%
96,97,up,FBU,Fletcher Building Foreign Exempt NZX,$4.84,+0.04,+0.83%,$4.13 B,-18.11%
97,98,up,LNK,Link Admin HLDG,$7.73,+0.01,+0.13%,$4.13 B,+6.77%
98,99,up,FLT,Flight Centre Travel,$39.73,+0.29,+0.74%,$4.02 B,-33.46%
99,100,up,SGR,The Star Ent Group,$4.35,+0.01,+0.23%,$3.99 B,-19.30%
100,101,up,IEL,Idp Education Limited,$15.36,+0.22,+1.45%,$3.91 B,+91.05%
101,102,down,ALQ,Als Limited,$8.04,-0.01,-0.12%,$3.90 B,-1.71%
